2015-08-13 17:24:20,361 [19] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: Unsubscribtion_Failure |  Category: App_Code.k4nnxiu9 | Message: Object reference not set to an instance of an object. 
2015-08-13 17:24:45,844 [8] INFO BEDService.BEDUnsubscribe - BED:: User: Email | Operation: Unsubscribtion_error |  Category: SetUnsubscribeDataEmail | Message: System.Collections.Generic.List`1[System.String] 
2015-08-13 17:29:03,223 [38] INFO BEDService.BEDUnsubscribe - BED:: User: Email | Operation: Unsubscribtion_error |  Category: SetUnsubscribeDataEmail | Message: Email 
2015-08-19 10:56:13,918 [30] INFO BEDService.BEDUnsubscribe - BED:: User: gsdg@hgfh.hgg | Operation: Unsubscribtion_success |  Category: SetUnsubscribeDataEmail | Message: OK 
2015-08-21 13:54:03,315 [39] INFO BEDService.BEDUnsubscribe - BED:: User: gdfs@tre.gfd | Operation: Unsubscribtion_success |  Category: SetUnsubscribeDataEmail | Message: OK 
2015-08-21 13:55:08,290 [64] INFO BEDService.BEDUnsubscribe - BED:: User: gtsert@hfdj.gfd | Operation: Unsubscribtion_success |  Category: SetUnsubscribeDataEmail | Message: OK 
2015-08-21 14:00:24,095 [92] INFO BEDService.BEDUnsubscribe - BED:: User: gfds@gdfg.gfds | Operation: Unsubscribtion_success |  Category: SetUnsubscribeDataAddress | Message: OK 
2015-08-21 14:06:52,259 [137] INFO BEDService.BEDUnsubscribe - BED:: User: gadsg@ghfgh.gds | Operation: Unsubscribtion_success |  Category: SetUnsubscribeDataBoth | Message: OK 
2015-08-21 14:21:46,764 [130] INFO BEDService.BEDUnsubscribe - BED:: User: hgdh@hfgh.hfg | Operation: Unsubscribtion_success |  Category: SetUnsubscribeDataEmail | Message: OK 
2015-08-24 13:28:31,860 [7] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: Unsubscribtion_Failure |  Category: ShireRealtime | Message: The type initializer for 'Shire.Realtime.WebServices.Services' threw an exception. 
2015-08-24 13:29:41,925 [16] INFO BEDService.BEDUnsubscribe - BED:: User: gfdsh@hfg.fff | Operation: Unsubscribtion_success |  Category: SetUnsubscribeDataEmail | Message: OK 
2015-08-27 13:36:48,477 [16] INFO BEDService.BEDUnsubscribe - BED:: User: maneesga@cdm.com | Operation: Unsubscribtion_success |  Category: SetUnsubscribeDataEmail | Message: OK 
2015-08-27 14:27:53,831 [99] INFO BEDService.BEDUnsubscribe - BED:: User: dzgvsd@hfgh.fdf | Operation: Unsubscribtion_success |  Category: SetUnsubscribeDataEmail | Message: OK 
