2014-07-28 17:21:06,858 [1] INFO ASP.global_asax - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-28 17:21:15,514 [10] INFO BEDService.BEDUnsubscribe - BED:: User:  | Operation: Uninitialized |  Category:  | Message:  
2014-07-28 17:22:07,181 [13] INFO ASP.global_asax - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-28 17:22:13,423 [19] INFO BEDService.BEDUnsubscribe - BED:: User:  | Operation: Uninitialized |  Category:  | Message:  
2014-07-28 17:23:48,434 [22] INFO ASP.global_asax - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-28 17:23:58,400 [10] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-28 17:26:42,054 [28] INFO ASP.global_asax - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-28 17:26:48,870 [10] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: OK 
2014-07-29 09:50:10,305 [1] INFO ASP.global_asax - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-29 09:51:38,561 [1] INFO ASP.global_asax - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-29 09:51:45,217 [9] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: ServiceStart |  Category: SetUnsubscribeDataEmail | Message: OK 
2014-07-29 09:51:55,304 [9] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: ServiceStart |  Category: SetUnsubscribeDataEmail | Message: OK 
2014-07-29 10:13:47,815 [50] INFO ASP.global_asax - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-29 10:39:06,749 [1] INFO ASP.global_asax - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-29 11:23:03,288 [1] INFO ASP.global_asax - BED:: User:   | Operation: ServiceStart |  Category: Application_Start | Message: BED Service Started 
2014-07-29 11:31:51,422 [9] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: Unsubscribtion_Failure |  Category: ShireRealtime | Message: Object reference not set to an instance of an object. 
2014-07-29 11:31:58,822 [9] INFO BEDService.BEDUnsubscribe - BED:: User:   | Operation: Unsubscribtion_Failure |  Category: ShireRealtime | Message: Object reference not set to an instance of an object. 
